281,TlScTe2,0.85
282,GaS,2.58
283,CdSb,0.45
284,Sr2TiO4,3.41
285,Nb2O5,3.08
286,In6S7,0.7
287,Hg4P2HfCl6,3.26
288,PbSe,0.27
289,DyN,2.6
290,CsInTe3O8,3.9
291,Cu5Ta11O30,2.58
292,LiB3O5,7.75
293,LaF3,6.6
294,AlN,5.9
295,Zn2In2S5,2.5
296,K2Sb8Se3,1.31
297,CaS,6
298,CdSiAs2,1.5
299,IrP2,1
300,Ba3Bi2TeO9,2.3
301,As2Te3,1.63
302,NaNO2,3.02
303,Cs3As,0.6
304,CuInS2,1.5
305,SnS2,2.43
306,SbI3,2.5
307,RbI,6.26
308,PbSe0.5S0.5,0.33
309,Mn2P2Se6,2.5
310,Na2CdGe2Se6,2.37
311,KAg2PS4,3.02
312,Cu0.5Ga1.5S2.5,2.46
313,P2Se5,2.2
314,Na2BaSnS4,3.27
315,Pb4Ga5GeS12,2.35
316,CsAg5Te3,0.65
317,GaSb,0.78
318,TlBr,2.63
319,CdS,2.58
320,TlPTe,0.3
321,Pb0.94Se0.94Ge0.06Te0.06,0.28
322,BiI3,1.8
323,BaZnGeSe4,2.46
324,SiP2,1.89
325,Pb7Bi4Se13,0.29
326,Sr2Bi5.42La2.58S14,1
327,YbSnTe2,0.75
328,BaPrO3,2
329,CaS,5.38
330,As2S3,1.89
331,Dy2O3,5
332,AgGaGe5Se12,2.14
333,LaBeB3O7,5.65
334,Ba2GaSmTe5,1.04
335,Zn0.7S0.7Ga0.3P0.3,2.4
336,Na2EuGeSe4,2
337,AlSb,1.63
338,Li6Rb5B11O22,6.53
339,K9Bi13S24,1.4
340,MnO,3.6
341,KBaB5O9,3.65
342,FeI2,5.15
343,CdS,2.53
344,La3LuSe6,1.26
345,PrF3,5.9
346,NdIn3S6,1.15
347,AgS,1.2
348,NaSbSe2,1.6
349,Mg2Sn,0.33
350,NdFMoO4,3.66
351,CdSb,0.56
352,Ru2Ge3,0.34
353,ZnAs,0.9
354,Bi2YVO8,2.09
355,LiTaO3,4.1
356,CsYbCoSe3,0.95
357,K2Hg3Sn2S8,2.4
358,PbSe,0.18
359,Ho2HfS5,1
360,FeSi2,0.9
361,RbInSnS4,2.7
362,Ba2NdGaS5,2.12
363,Ga0.99P0.99Zn0.01Se0.01,2.24
364,EuLiH3,1.5
365,AgInSe2,1.04
366,Pb4Ga5GeSe12,1.91
367,Ba2InTaO6,4.17
368,Ca6Bi6O15,3.34
369,RbCd4Ga5Se12,2.19
370,Pb0.99Te0.99Ge0.01S0.01,0.32
371,Tl2Te3,0.2
372,CdTe,1.5
373,LiNbO3,4
374,LiInTe2,1.46
375,PtSb2,0.1
376,As2S3,2.78
377,SbSI,1.82
378,GaN,3.5
379,As2Te3,1.64
380,Zr6O,0.18
381,K6Nb2.97Ta1.03S25,2.01
382,Cu2MgSiS4,3.2
383,InAs,0.43
384,UP2S9,1.41
385,LiInS2,3.56
386,Sn3As2,0.47
387,InP,1.5
388,NaAsSe2,1.52
389,Ga0.4As0.4Zn0.6Se0.6,1.8
390,GaAs0.65Sb0.35,0.68
391,TaGaSe2,2.23
392,Mn11Si19,1
393,Mg2Sn,0.22
394,CdSe,1.8
395,NaSbTe2,0.47
396,Pb17O8Cl18,3.44
397,KH2PO4,7
398,Hg3PS3,1.98
399,ZnS,3.69
400,Cu2ZnGeSe4,1.63
401,Tb2GeS5,2.1
402,CI4,2.26
403,ZrS3,2.17
404,Ag3AsSe3,2.24
405,KI,6.31
406,Mg2Sn,0.19
407,Ce2Te3,1.4
408,Cs2Bi8.81La1.19S16,1
409,Cs2Ta2P2Se12,2.29
410,Tl3TaS4,2.18
411,Rb2Zn3Se4O12,4.9
412,CuIn3Se5,0.6
413,Tl2InGaTe4,0.88
414,Ga0.95Sb0.95Hg0.05Te0.05,0.69
415,SrZrS3,0.8
416,Cd4P2Br3,2.19
417,Ca3Ti2Si3O12,1.65
418,Bi2Mo2Se2O13,3.15
419,Cu2ZnSiS4,3.2
420,BiCuOS,1.07
421,CdGeAs2,0.61
422,Ga0.6Al0.4P,2.35
423,PtSb2,0.05
424,CsYTe3O8,3.4
425,Cu3SbS4,1
426,Ba23Ga8Sb2S38,2.84
427,CdF2,6
428,Nd2YbCuS5,1.35
429,Ba2HgS5,2.4
430,AgTe,0.85
431,ZnSe,2.8
432,Ag3AsS3,2.24
433,CuNbO3,2
434,In5Se6,0.14
435,CdIO4H,4.35
436,CuGa2S3.5,2.42
437,Pb0.97Sn0.03Te,0.21
438,Ba3ThSe7,1.96
439,Ag3AsS3,2
440,ZnYBiO4,1.58
441,Hg3Te2UCl6,2.6
442,PbGa4S7,3.08
443,MoO3,3.54
444,ErSe2,1.07
445,CuTlSe2,1.07
446,KAsSe2,1.63
447,SmCuOS,2.9
448,CsYZnSe3,2.41
449,LiB3O5,7.78
450,BiI3,2.03
451,InSb0.7As0.3,0.16
452,Bi0.2Te3Sb1.8,0.28
453,K2FeGe3Se8,1.95
454,GaS,2.84
455,Zn0.01Cd0.99Se,2.5
456,CuBr,3.08
457,KI,6.25
458,CuBr,2.91
459,Bi2Te0.6Se2.4,0.28
460,AlP,3.62
461,Bi2Te0.03Se2.97,0.27
462,RbCu4AsS4,2.15
463,ZnGeP2,2.34
464,YPdSb,0.27
465,GeSe,1.08
466,Pb0.94Se0.94Sn0.06Se0.06,0.22
467,LiNbO3,3.9
468,Sb2Te3,0.19
469,CdGeP2,1.65
470,KI,6.28
471,Hg0.01Cd0.99Se,0.29
472,MnSb2O4,2.65
473,Cu0.2Ga1.8S2.8,2.7
474,Cs2Ba3P4O14,6.31
475,LiRbCO3,6.28
476,SnSe,0.88
477,OsP4,0.6
478,Sb2Se3,1.2
479,Pb0.94Sn0.06Se,0.14
480,Rb4Ge3B6O17,5.42
481,Eu2Se3,1.02
482,ZnGeP2,2.2
483,CdGeAs2,0.41
484,GaSe,2.02
485,As2S3,2.35
486,GeS,1.65
487,CsBr,7.18
488,Cs3Bi2I9,1.9
489,Pb0.995TeGa0.005,0.37
490,Cd3P2,0.6
491,In0.9P0.9Ga0.1As0.1,1.32
492,As2S3,2.74
493,Na3Sb,1
494,Ca2SnS4,2.32
495,EuO,1.12
496,ZrO2,4.99
497,CsInSn2Se6,1.78
498,TlCl,3.75
499,RbGeB3O7,5.58
500,Cd0.01Te0.01Al0.99Sb0.99,2.21
501,CsGdZnTe3,2.13
502,LiGaO2,5.6
503,Ag2GeTe3,0.07
504,KTiPO5,3.8
505,AsI3,2.29
506,As4S4,2.4
507,RhSbTe,0.5
508,NaSbSe2,1.36
509,GaN,3.47
510,TlCr5S2Se6,0.75
511,K2AgIn3Se6,1.64
512,BaF2,9.1
513,ZnSnP2,2.1
514,Ga0.15As0.15Zn0.85Se0.85,2.25
515,CsGaSnSe4,1.97
516,Ca10Ge16B6O51,5.47
517,CdIn,0.6
518,Ba2InGdTe5,1.36
519,Rb3Ta2AsS11,2.21
520,HgIn2Te4,1.25
521,FeSi2,0.95
522,RbScSe2O6,4.9
523,BaIn2Se4,2.63
524,Ag2O,1.5
525,GeS,1.58
526,BaF2,9.21
527,TlBr,2.65
528,SrS,4.8
529,AsSI,2.05
530,CaTaO2N,2.4
531,Pb0.999Sn0.001Te,0.18
532,NaSb,0.82
533,NaAsSe2,1.46
534,AgAsS2,2.14
535,K3Bi2I9,2.1
536,ErTe,0.9
537,LiCdBO3,4.28
538,Na2ZnSn2S6,2.93
539,Ca2Sn,0.9
540,GeS2,3.71
541,Cu2ZnSiSe4,2.33
542,Sm2Te3,0.7
543,K3Ta2AsSe11,1.45
544,K4Nb2S11,2.42
545,SnGe,0.4
546,Mg2Sn,0.3
547,Zn0.43Cd0.57Se,2.8
548,LaH2NO5,4.76
549,TlS2,1.8
550,Bi2Te2.4Se0.6,0.27
551,Sr3BiP3O12,4
552,ZrSe2,2
553,BaIn2P4O14,3.97
554,La2NiVO6,0.45
555,TiO2,3.3
556,Sn0.5GaZn5.5O8,2.99
557,CdS,2.58
558,K2PbGe2S6,2.85
559,Rb4GeP4Se12,2
560,CsTa3Se2O12,3.88
561,Hg0.01Zn0.99Te,2.3
562,Ge0.02Si0.98,1.08
563,Cd4As2Br3,1.88
564,PbBiO2Cl,2.45
565,CuInSe2,0.96
566,CdSe,1.67
567,EuBi2Te4,0.44
568,La4InSbS9,2.07
569,ZnS,3.78
570,SbI3,2.12
571,YbIn3S6,1.31
572,GaAs,1.52
573,Ag8GeS6,1.18
574,Cs4GeP4Se12,2
575,AgN3,3.44
576,Sm1.82Lu2.18Se6,1.51
577,Si2Te3,2.03
578,LaMg2PdH7,1
579,SiAs,1.57
580,CsErZnSe3,2.56
581,GaSb,0.7
582,Pb2Nb2Se4O15,2.79
583,RbAg5P2S8,2.4
584,Ba2InYTe5,1.36
585,LiZnN,1.98
586,In0.7Al0.3P,1.9
587,CdSe,1.84
588,KTa3Te2O12,4.06
589,KI,6.2
590,TlSe,0.56
591,Zn3Sb2,0.11
592,LuIn3S6,1.27
593,Hg8As4Bi3Cl13,2.43
594,AgN3,3.9
595,PbI2,2.53
596,Na2Hg3Sn2S8,2.45
597,AgTlTe2,0.1
598,Pb3BiV3O12,2.5
599,K2Nd2Ti3O10,3.25
600,Pb0.99Sn0.01Te,0.23
601,Zn3As2,1.1
602,Na2Hg3S2.51Se1.49,2.03
603,BaIr2Ge4S6,1.54
604,Ba3GeS5,3
605,HgSe,0.32
606,EuSe,3.1
607,Tl4GaIn3S8,2.63
608,CaO,7.09
609,Li2B4O7,7.3
610,KI,6.17
611,K3CdB5O10,3.47
612,KSbS2,1.6
613,RbBr,7.2
614,Hg0.2Cd0.8Se,0.45
615,Pb0.85Sn0.15Se,0.14
616,Bi2Te2SO10,3.6
617,Hg0.06Zn0.94Te,2.12
618,ZnSe,2.82
619,KSm2CuS4,2.17
620,MgO,7.78
621,SnS0.25Se0.75,0.94
622,Rb9Bi13S24,1.3
623,La20Mo12O63Cl4,2.4
624,Bi3TeBO9,2.6
625,AgInSe2,1.18
626,Li2HgGeS4,2.46
627,In2Se3,1.2
628,PtSb2,0.08
629,FeAsS,0.4
630,Bi2O2CO3,3.42
631,Ge0.774Si0.226,1.5
632,Cu2CdGeS4,2.05
633,Ba2V4Te3O18,2.64
634,CuP2,1.4
635,Pb0.999Sn0.001Te,0.32
636,TlInSe2,1.21
637,Mg2Sn,0.36
638,K2AuI5O15,2.65
639,CuI,3.1
640,NbIrSn,0.28
641,Pb0.85Sn0.15Te,0.13
642,CdIn30Te46,1.17
643,CoPS,0.4
644,CsLaHgSe3,2.51
645,La6Sb4S3O12,2.6
646,Hg0.14Zn0.86Te,1.73
647,As2Se3,1.85
648,InP,1.34
649,TlPS2,1.7
650,Bi3Se2NO11,3.59
651,Pb0.65Se0.65Sn0.35Te0.35,0.09
652,FeSi2,0.88
653,GaAs0.2Sb0.8,1.02
654,In2Se3,1.25
655,Ni2Te3O8,3.84
656,LiSbTe2,0.13
657,Sr4V2Se6O21,2.66
658,LiBiS2,0.18
659,Hg7.5As4Cl6,1.73
660,KH2PO4,6.95
661,RbCdB3O6,4.2
662,Rb3Ag9P4S16,2.6
663,KZn4B3O9,2.32
664,AlP,3
665,CaS,5.4
666,InAs,0.42
667,Sr8Ga16Ge30,0.05
668,BiSBr,1.88
669,In2P3B1O12,5.39
670,InSe,1.34
671,Cs2PdSe8,1.5
672,Sb8O11I2,2.72
673,Ga0.01Sb0.01Zn0.99Te0.99,2.1
674,ScPdSb,0.23
675,Bi2Se3,0.35
676,RbCd4Ga5Te12,1.64
677,CuGaS2,2.4
678,InP,1.42
679,Ba3Nb2Se9,1.3
680,GaAs,1.52
681,Pb0.9Mn0.1Te,0.49
682,As2S3,2.23
683,Rb2GeB4O9,5.54
684,InSb0.1As0.9,0.14
685,CdSnAs2,0.3
686,CdS,2.6
687,Tl2SeAs2Te3,0.67
688,LiSm3SiS7,2.83
689,Pb0.9Se0.9Bi0.2Te0.3,0.25
690,GaSb,0.81
691,Pt0.97S2,0.95
692,ThOTe,1.45
693,CdSb,0.43
694,ZnO,3.48
695,CsInSnS4,2.9
696,CdTe,1.61
697,PbGa2S4,2.38
698,PbTe,0.22
699,Pb0.99Se0.99Ge0.01Te0.01,0.23
700,Cs2ZnGe3S8,3.33
701,CuCl,3.22
702,Zn2MoSeO7,4.2
703,Pb0.01Sn0.99Te,0.3
704,Ga2Se3,2.3
705,Tb4Al2O9,4.59
706,Li2HgGe,0.93
707,CsAu,2.3
708,In0.5Al0.5P,2.4
709,PtS,0.38
710,Ba2SmTaO6,3.02
711,CeBiW2O9,2.34
712,Bi9O7.5S6,1.27
713,SbTeI,1.28
714,Rb2Cd3B16O28,4.76
715,K2Ta15O32,0.33
716,CdSe,1.87
717,Hg0.14Zn0.86Te,1.66
718,CdSb,0.54
719,Li2ZnSnS4,2.87
720,EuYb2S4,1.6
721,Rb2CuNbSe4,2.19
722,ZnTe,2.18
723,CsB3O5,7.42
724,SrTiO3,3.15
725,Pb0.9Ge0.1Te,0.35
726,Cu2Se,1.23
727,EuBi2Se4,1.02
728,Rb3Nb2AsSe11,1.5
729,KTi2F7,6.4
730,TlSbS2,1.92
731,Mn11Si19,0.5
732,TlSe,0.7
733,Cd4LuB3O10,3.7
734,VO2,0.12
735,Cu0.8Ga1.2Se2.2,1.58
736,CdIn2Se4,1.72
737,Bi38ZnO58,2.88
738,KI,5.61
739,Na2Hg3Si2S8,2.86
740,GaS,2.6
741,RhSSe,0.7
742,SrPr2S4,2.7
743,CsAsSe2,1.86
744,GaAs0.86Sb0.14,0.66
745,PrFMoO4,3.64
746,Ge0.9355Si0.0645,1.04
747,PtAs2,0.5
748,CsYCdSe3,2.54
749,Cd4As2I3,1.89
750,AgInSe2,1.15
751,Ga0.4Al0.6As,2.3
752,Sc2S3,2
753,Zn0.85Hg0.15Se,1.8
754,CdIn2Te4,0.9
755,HgO,2.21
756,Zn0.01S0.01Ga0.99P0.99,2.25
757,Sb2S3,1.7
758,Tb2Mo3O12,1.6
759,GaSe,1.93
760,TaGaSe2,1.65
761,HfSe2,2.2
762,Ag2GeSe3,0.91
763,Rb3Bi2I9,2.1
764,CuInTe2,1.06
765,Cd0.55Te0.55Al0.45Sb0.45,1.93
766,AlSb,1.65
767,Hg2Cl2,2.84
768,Ag4Ba6Sn4S16,2.37
769,Nd2Te3,1.12
770,Ba2GaGdTe5,1.12
771,Mn3Ta2O8,1.89
772,RuSb2,0.3
773,Cs3Sb,1.6
774,Li2GaGe2Se6,2.64
775,GaSe,1.98
776,Gd2Se3,2.2
777,Rb2Cu2Sn2S6,1.44
778,LiI,5.62
779,Eu3S4,1.7
780,ZnSe,2.87
781,RbBr,7.7
782,AlP,3.1
783,BaHgS2,1.93
784,BaB2O4,6.43
785,Li9Ga13Te21O66,4.45
786,BiSb0.15,0.02
787,Ag0.1Cd0.8In2.1Te4,0.29
788,In2As2O5Cl2,4.62
789,CdTlS2,1.5
790,Cd3As2,0.14
791,InSb,0.25
792,Eu2O3,4.5
793,TlInS2,2.3
794,Na2PtI6O18,2.4
795,K6Nb1.07Ta2.93S22,1.88
796,OsSbTe,0.05
797,AlSb,1.62
798,SnS,1.42
799,Ag2O,1.59
800,InN,2.1
801,YVTeO10,2.2
802,PtSb2,0.11
803,Bi1.4Te3Sb0.6,0.17
804,KPbPO4,4.44
805,SiSe2,1.74
806,Na2Zn3Se4O12,4.9
807,PbTe0.05Se0.95,0.26
808,In4Te3,0.55
809,CsBiS2,1.4
810,Ba4CuInSe6,2.23
811,SrSnO3,4.1
812,VO2,0.5
813,Tl3VS4,1.97
814,CuCl,3.27
815,Na2Be4B4O11,7.3
816,Ce2S3,1.12
817,RhP2,1
818,Ga0.99As0.99Zn0.01Se0.01,1.39
819,Cd3As2,0.64
820,CuI,2.8
821,Sb2Se3,1.3
822,Ce2Ge2Se7,1.1
823,ZnAs2,0.91
824,NaBiS2,0.38
825,ZnO,3.46
826,Hg0.25Zn0.75Te,1.37
827,As2Te3,1.75
828,Eu7Ga6Sb8,0.6
829,ZnS,3.74
830,SmBiW2O9,3.39
831,CrSi2,1.3
832,PbS,0.41
833,Ga0.99Sb0.99Hg0.01Te0.01,0.72
834,YPtSb,0.16
835,ZnSe,2.71
836,OsSbS,1.2
837,CdS,2.44
838,Sb2S3,1.92
839,K4GeP4Se12,2
840,AgBiSe2,0.34
841,CsInS2,3.4
842,In0.3As0.3Ga0.7P0.7,2.05
843,NaAsSe2,1.75
844,TlCl,3.47
845,Cs2AgBiCl6,2.77
846,CdSnP2,1.5
847,CuGaS2,2.53
848,Ba2GaBiTe5,1.43
849,Ca3B2N4,4.1
850,BaUSe3,1
851,Sb2Se3,1.4
852,SmIn3S6,1.18
853,ZnIn2S4,2.8
854,Cu0.5Pb1.75GeS4,1.48
855,ZnTe,2.26
856,PAs,0.23
857,FeAsSe,0.6
858,Sb2O3,3.31
859,KInGeS4,3.1
860,Ba2SnSe5,1.8
861,ZrS3,2.28
862,Mn15Si26,0.7
863,Pb0.94Se0.94Sn0.06Se0.06,0.19
864,Hg0.9Cd0.1Se,1.3
865,HoN,1.9
866,Zn3Sb2,0.2
867,Cu0.2Ga1.8Se2.8,1.86
868,Rb2CdP2Se6,2.58
869,Pb0.92Se0.92Sn0.08Te0.08,0.22
870,Ag3SbS3,1.81
871,Cs2Hg4.65Cd1.35S7,1.84
872,TiSe2,1.55
873,In0.7P0.7Ga0.3As0.3,1.58
874,SnI2,2.4
875,GaS,2.58
876,Bi2Te1.5Se1.5,0.29
877,Pb0.85Se0.85Ge0.15S0.15,0.34
878,NaI,5.8
879,OsP2,1.13
880,CdSiP2,1.8
881,Na2In4SSe6,1.92
882,CuAlSe2,2.7
883,Cu3YbS3,1.56
884,RbSbTe2,0.38
885,Pb3BiP3O12,3.7
886,Ce8Sb2S15,1.99
887,Ba2Ca2B4O10,5.6
888,ZnSb,1.11
889,K2AgVS4,1.85
890,BaCuSbSe3,1.6
891,GaHSeO4,5.51
892,GaSe,2.15
893,Ga0.75As0.75Zn0.25Se0.25,1.51
894,ZnS,3.73
895,RbBiSe2,0.92
896,GeSe2,2.38
897,Cu0.4Ga1.6S2.6,2.45
898,ZnTe,2.37
899,ZnTe,2.34
900,Cs3Nb9Te4O32,3.22
901,Cd5Ga2S2Te6,1.29
902,AgSbS2,1.9
903,In0.01P0.01Ga0.99As0.99,1.43
904,BiCuOSe,0.82
905,Cu4Sn7S16,0.8
906,ZnTe,2.2
907,Ce1.3Lu0.7S3,1.25
908,InP,1.35
909,LiGaS2,3.76
910,Ag2.7Ba6Sn4.3S16,1.58
911,Sm2YbCuS5,1.28
912,Pb0.85Sn0.15Se,0.13
913,K2Hg3Ge2S8,2.64
914,CsScSe2O6,5.2
915,CdTe,1.44
916,GaN,3.21
917,La2HfS5,0.7
918,PbSe,0.22
919,Ba2B4O9H2,5.12
920,ZrSe3,1.6
921,Cu2Se,1.5
922,CdGa2Se4,2.75
923,InN,2.4
924,AgAsS2,2.26
925,SnS0.01Se0.99,0.89
926,Mg3Sb2,0.8
927,ZrC,0.6
928,NaI,6.75
929,CdSnP2,1.17
930,PtS,0.64
931,TaGaS2,2.45
932,CsBiS2,1.39
933,ZnSe,2.69
934,Sr2ScSbO6,3.57
935,CdGa2S4,3.44
936,KBiSe2,0.67
937,HgTe,0.18
938,La3FMo4O16,3.7
939,TlN3,3.58
940,Sb2Se3,1.13
941,VO2,0.4
942,Cs4Th2P6S18,2.8
943,Mg2Si,2.27
